2025-07-26 19:25:19 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:30:06 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:30:06 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:30:35 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:30:35 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:30:42 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:30:42 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:30:42 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:30:42 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:30:42 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:30:42 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:33:26 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:33:26 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:33:32 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:33:32 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:33:33 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:33:33 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:33:33 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:33:33 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:38:01 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:38:01 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:38:34 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:38:34 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:38:35 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:38:35 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:38:35 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:38:35 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:41:41 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:41:41 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
2025-07-26 23:41:49 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-26 23:41:49 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-26 23:41:49 | INFO | __main__:_on_startup:99 | 🚀 TelegramBot started successfully!
2025-07-26 23:41:49 | INFO | __main__:_on_startup:100 | Bot description: Telegram Bot
2025-07-26 23:41:49 | INFO | __main__:_on_startup:107 | Bot commands set successfully
2025-07-26 23:41:49 | INFO | __main__:run:137 | Starting bot polling...
2025-07-26 23:44:28 | INFO | __main__:_on_shutdown:112 | 🛑 Shutting down bot...
2025-07-26 23:44:28 | INFO | __main__:_on_shutdown:115 | Bot shutdown completed
